name,price
"ASUS ROG Strix G10 Gaming Desktop PC, AMD Ryzen 7 5800X Processor, GeForce RTX 3060, 16GB DDR4 RAM, 512GB PCIe SSD + 1TB HDD, Wi-Fi 5, Windows 11 Home, G10DK-NB766","1,349.00"
CyberpowerPC Gaming Desktop Gamer Master GM60700 Ryzen 5 5000 Series 5600X (3.70GHz) 8GB DDR4 1 TB NVMe SSD NVIDIA GeForce RTX 3060 Windows 11 Home 64-bit,"1,299.99"
"KUU-A8S Pro 15.6"" Portable Laptop Intel Celeron J4125 Windows 10 Pro Notebook 1920**1080 IPS Screen 8GB RAM+256GB SSD Dual-band WIFI RJ45",339.00
KUU 12.6 Inch Portable 2-in-1 laptop lebook pro series I7-8550U CPU 2160*1440 Backlit Keyboard with USB Capacitive Pen,850.00
ABS Master Gaming PC - Windows 10 Home - Intel i5 11400F - GeForce RTX 3060 - 16GB DDR4 3000MHz - 512GB M.2 NVMe SSD,"1,249.99"
ABS Legend Gaming PC - Windows 10 Home - Intel i9 11900KF - GeForce RTX 3080 Ti - G.Skill TridentZ RGB 16GB DDR4 3200 MHz - 1TB Intel M.2 NVMe SSD,"3,399.99"
ABS Master Gaming PC - Windows 11 Home - Intel i5 11400F - GeForce RTX 3060 - 16GB RGB DDR4 3200MHz - 512GB M.2 NVMe SSD,999.99
Cobratype Gaming Desktop Slaughterback Intel Core i5 12th Gen 12400F (2.50GHz) 16GB DDR4 500 GB PCIe SSD NVIDIA GeForce RTX 3060 Windows 11 Pro 64-bit,"1,499.99"
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,"1,399.99"
ABS Master Gaming PC - Windows 11 Home - Intel i7 11700F - GeForce RTX 3060 Ti - 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,699.99"
KUU YOBOOOK M 13.5 Inch Notebook Intel Celeron N4020 Windows 10 BT 4.0 6GB RAM+128GB SSD WIFI,290.00
KUU Notebook Intel celeron N4120 Processor 13.5 Inch IPS 3000*5000 8GB DDR4+256GB SSD Full Metal Notebook Backlit Keyboard,399.00
"Gaming HP 600 G1 SFF Desktop Intel core i5-4th gen | 8GB RAM, 128GB SSD, 1TB HDD | RGB Keyboard Mouse | 4 in 1 USB Hub | Nvidia Geforce GT 1030 4GB Graphics, WiFi, Windows 10 Pro",474.82
"HP Gaming Computer, Intel Quad-Core i7, GeForce GT 730, 16GB DDR3 RAM, 2TB HDD , DVD, WiFi, Bluetooth, Windows 10 Home, New 24 LCD, Rainbow Keyboard and Mouse",784.23
ABS Master Gaming PC - Windows 10 Home - Intel i7 11700F - GeForce RTX 3060 Ti - G.Skill TridentZ 16GB DDR4 3200MHz - 1TB M.2 NVMe SSD - EVGA AIO Cooler,"1,599.99"
ABS Gladiator Gaming PC - Windows 11 Home - Intel i9 12900KF - NVIDIA GeForce RTX 3080 - 32GB (2x16GB) RGB DDR5 4800MHz - 2TB M.2 NVMe SSD - Corsair 5000x Gaming Case,"3,149.99"
ABS Gladiator Gaming PC - Windows 11 Pro - Intel i7 11700KF - GeForce RTX 3070 - 16GB RGB DDR4 3200MHz - 1TB M.2 NVMe SSD,"1,799.00"
CyberpowerPC Gaming Desktop Gamer Master GM61000 Ryzen 5 5000 Series 5600G (3.90GHz) 8GB DDR4 500 GB M.2 NVMe SSD NVIDIA GeForce RTX 2060 Windows 11 Home 64-bit,949.99
"HP Gaming Computer, Intel Quad-Core i5, GeForce GT 1030, 240GB SSD + 1TB HDD, 16GB DDR3 RAM, DVD, WiFi, Bluetooth, Windows 10 Home, New 24 LCD, Rainbow Keyboard and Mouse (Renewed)",738.23
"HP Gaming Computer, Intel Quad-Core i7, GeForce GT 730, 16GB DDR3 RAM, 2TB HDD , DVD, WiFi, Bluetooth, Windows 10 Home, Rainbow Keyboard and Mouse",634.23
"Skytech Archangel Gaming PC Desktop - Intel Core i5-10400F 2.9 GHz (4.3 GHz Max Boost), RTX 3060, 16GB DDR4 3200MHz, 1TB SSD, AC WiFi, Windows 10 Home 64-bit, White","1,249.99"
,"1,249.99"
"Skytech Shadow 3.0 Gaming PC Desktop - Intel Core i5-11400F 2.6 GHz (4.4 GHz Max Boost), RTX 3060 Ti, 16GB DDR4 3200MHz, 500GB SSD, AC WiFi, Windows 10 Home 64-bit, Black","1,299.99"
iBUYPOWER Gaming Desktop Slate 5MR 241i Intel Core i5 11th Gen 11400F (2.60GHz) 1 TB HDD 480 GB SSD NVIDIA GeForce GTX 1050 Ti 4 GB GDDR5 Windows 11 Home 64-bit,849.99
ABS Master Gaming PC - Windows 10 Home - Intel i5 10400F - GeForce RTX 2060 - 16GB DDR4 - 512GB SSD,949.99
"ASUS ROG Strix GA15DK Gaming Desktop PC, AMD Ryzen 7 5800X, GeForce RTX 3070, 16GB DDR4 RAM, 1TB SSD, Wi-Fi 5, Windows 10 Home, GA15DK-DS776","1,699.99"
ASUS Gaming Desktop ROG Strix G10DK-RS756 Ryzen 7 3rd Gen 3700X (3.60GHz) 16GB DDR4 1TB HDD 512 GB PCIe SSD NVIDIA GeForce GTX 1650 SUPER Windows 10 Home 64-bit,899.99
IPASON - Gaming Desktop - AMD A8 7680 (4 Core up to 3.8GHz) - Radeon R7 - 240GB SSD - 8GB 1600MHz - Windows 10 home - Office Computer - Gaming PC,499.99
"SkyTech Archangel 3.0 Gaming Computer PC Desktop - Ryzen 7 3700X 8-Core 3.6GHz, RTX 3060 12GB, 1TB SSD, 16GB DDR4 3000, RGB Fans, AC WiFi, 600W Gold PSU, Windows 10 Home 64-bit, White","1,599.99"
"Skytech Blaze 2.0 Gaming Computer PC Desktop - Intel i5-10400F,  GTX 1660, 500GB SSD, 16GB DDR4 3200, RGB Fans, AC WiFi, Windows 10 Home 64-Bit, Black","1,049.99"
"Skytech Blaze 2.0 Gaming Computer PC Desktop - Intel i5-10400F,  GTX 1650, 500GB SSD, 16GB DDR4 3200, RGB Fans, AC WiFi, Windows 10 Home 64-Bit, Black",949.99
Skytech Gaming - Shiva Gaming Desktop - Intel Core i7-11700F - GeForce RTX 3060 12G - 1TB SSD - 16GB Memory - 240mm AIO - White ST-SHIVA-0205-B PC Computer,"1,249.99"
"AORUS MODEL X Gaming PC Computer Desktop (Intel i9-11900K, NVIDIA GeForce RTX 3080 10GB GDDR6X, 16GB DDR4 RAM, 3TB M.2 SSD) - GB-AMXI9N8A-2051","2,999.99"
