Computer_Description,Selling_Price
Shop on eBay,$20.00
Dell Business Desktop Computer 3.1GHz Windows 10 Pro 22in LCD 8GB 1TB HDD Wi-Fi,$139.95 to $280.99
"Dell OR HP Desktop PC Computer Dual C 500GB 4GB DUAL 19"" LCD WiFi Windows 10 Pro",$179.99
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 10 Pro | WiFi BT",$99.45 to $343.40
"Dell i5 Mini Computer PC | up to 16GB RAM, 1TB SSD | Windows 10 | WiFi Bluetooth",$135.00 to $414.00
HP Desktop Computer Windows 11 16GB 1TB Bluetooth DVD+RW WiFi (FULLY LOADED),$399.00
Fast HP Desktop Computer 3.0GHz 8GB RAM 500GB HD PC Windows 10 WiFi DVD,$129.99
Dell Computer PC Desktop 8GB Ram 500GB HD Intel Quad Core i5 3.10GHz Windows 10 ,$149.99
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 10 Pro | WiFi BT",$164.90
"Dell i5 Mini Computer PC | up to 16GB RAM, 1TB SSD | Windows 10 | WiFi Bluetooth",$304.00
"Dell Gaming Desktop Computer PC Tower Core i5 16GB 2TB HD/SSD 22"" LCD Windows 10",$288.34
"Dell Desktop i7 8GB RAM 500GB HDD Intel Computer PC Windows 10 Home 19"" LCD WiFi",$151.90
"Dell LCD Desktop Computer PC 8GB RAM 1TB Dual 20"" Monitor Windows 10 Home WiFi",$133.62
Dell Desktop Computer 500GB HD 8GB RAM Core I3 DVD WiFi Windows 10 PC LCD bundle,$140.00
"HP i7 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 10 or 11 | WiFi BT",$177.65
HP Desktop i7 Computer PC Intel Core Desktop 8GB RAM 1TB HDD Windows 10 Pro WiFi,$154.05
Clearance HP Desktop Computer 16GB RAM 2TB HDD 250GB SSD WiFi Windows 10 Pro PC,$99.00 to $290.00
HP Computer Desktop Windows 11 8GB 1TB Bluetooth DVD+RW WiFi HDMI (FULLY LOADED),$349.00
"Dell Gaming Desktop Computer PC Tower Core i5 16GB 2TB HD/SSD 22"" LCD Windows 10",$254.99 to $445.85
"Dell Desktop i7 8GB RAM 500GB HDD Intel Computer PC Windows 10 Home 19"" LCD WiFi",$151.90
"Dell LCD Desktop Computer PC 8GB RAM 1TB Dual 20"" Monitor Windows 10 Home WiFi",$133.62
Dell Inspiron 3252 Desktop Computer 4GB 500GB DVDRW WiFi BT Windows 10 PC,$99.99
Dell Desktop i3 SSD Computer PC Intel Core 8GB RAM 256GB SSD Windows 10 Pro WiFi,$84.48
"HP i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | 22"" LCD Windows 10 or 11",$135.15 to $470.90
"Dell i5 Desktop Computer PC | up to 16GB RAM, 3TB SSD | Windows 7 or 10 | WiFi",$99.45 to $343.40
Dell Desktop Computer 500GB HD 8GB RAM Core I3 DVD WiFi Windows 10 PC LCD bundle,$140.00
Dell Optiplex 7010 Business Desktop Computer 16GB RAM 2TB HDD USB 3.0 Win 10 Pro,$219.99
HP Desktop Computer WINDOWS 11 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED),$499.00
DELL Optiplex Desktop Computer i7-8700 Up to 32GB DDR4 1TB NVMe M.2 SSD Win10Pro,$210.56 to $740.99
"HP All In One 23"" Computer Core I5 8GB RAM 256GB 1TB 2TB SSD or HDD Windows 10",$270.00 to $319.00
"HP i7 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 10 or 11 | WiFi BT",$177.65 to $534.65
"HP OR DELL Desktop PC 8GB 500GB HDD 19"" LCD Monitor WiFi Windows 10 Warranty",$139.99
"HP or Dell Desktop Computer 16GB 2TB 512GB SSD Core i5 Windows 10 PC 24"" 22"" LCD",$144.99 to $409.99
HP - Dell Desktop PC Computer Dual Core 8GB RAM DUAL 19 LCDs 1TB WiFi Windows 10,$224.99
"FAST Dell Windows 10 Desktop Computer Core 2 Duo 4GB Ram DVD WiFi 19"" LCD",$117.00
Custom Gaming Desktop PC RGB Tempered Glass Intel i7 Quad 8GB 1TB Nvidia K620 2G,$389.00
Dell Optiplex 9020 SFF i7-4770 3.40GHz Business Desktop Computer Windows 10 PC,$119.99 to $359.99
Discount Dell Optiplex PC Desktop Computer Intel I5 up to 16GB RAM 500GB SSD Win,$99.99 to $299.99
"Fast Dell Desktop Core i5 Computer 8GB RAM 500GB HD Windows 10 Home PC 19"" LCD",$140.06
HP Desktop i7 Computer PC Intel Core Desktop 8GB RAM 1TB HDD Windows 10 Pro WiFi,$154.05
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM Nvidia,$524.99
HP ELITE Desktop Computer Dual Core 8GB RAM 500GB HD PC Windows 10 WiFi,$119.99
"HP All In One 23"" Widescreen PC 8GB 2TB Core I5 Desktop Computer Webcam Win 10",$286.00
Custom Dell Desktop Computer up to 16GB 2TB HDD | 512 SSD CORE I3 Win10 Pro LCD,$115.00 to $260.00
Lenovo Desktop All In One Computer PC Intel i3-6100 8GB Ram 256GB SSD Win 10 Pro,$299.99
"Gaming Pc Desktop Computer [UPGRADED] RX 570, SSD, 32GB RAM, Wi-Fi, Streaming PC",$595.00
"Dell Desktop Computer 16GB 2TB, 512GB SSD Wi-Fi Core i5 Windows 10 PC New 24""LCD",$177.99 to $412.99
Dell i5 Desktop 16GB RAM 500GB HD Intel Computer PC Windows 10 Professional WiFi,$140.35
"Dell i5 6500 Desktop Computer PC | up to 32GB RAM, 3TB SSD | Windows 11 or 10",$177.65 to $534.65
Fast Dell Slim Tower Computer PC Intel Core 2 Duo 4GB RAM 250GB HD Windows 10,$93.00
HP ProDesk 600 G1 Mini Desktop Computer Quad Core i5 16GB New 1TB SSD Win10 Pro,$199.99
Windows 11 Pro Mini PC Intel J4125 Quad Core 2.7GHz 8GB RAM DDR4 128GB SSD GK3V,$179.95
"Gaming PC RGB Desktop Computer AMD Ryzen 5, GTX 1060, 16GB, 240GB SSD, 2TB WiFi",$799.99
"Custom Dell Desktop Computer 16GB 2TB 512 SSD Core I5 Windows 10 PC 19"" 22"" LCD",$145.00 to $350.00
"HP Computer with 24"" Monitor WIN11 8GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED)",$489.00
Dell Optiplex 7050 SFF i5-7500 3.40GHz 8GB RAM 256GB SSD Windows 10 Pro,$206.79
"Dell or hp Desktop PC Computer Core 16GB DUAL 22"" LCD Monitor SSD/HDD Win 10 Pro",$279.99
"DELL Desktop Computer 16GB 2TB 480GB SSD Quad Core i5 Windows 11 Pro PC 22"" LCD",$154.95 to $327.95
"HP Computer TOUCHSCREEN All in One 24"" WIN 11 16GB 256GB WEBCAM (FULLY LOADED)",$689.00
Dell Desktop i7 SSD + 1TB HD + 16GB Ram + Wifi + Windows 10 Pro + Free Warranty,$304.95
"HP All in One 23"" Widescreen Computer Core I3 8GB 500GB Windows 10 WiFi Webcam",$208.00
Dell Precision T3600 | Xeon E5-1650 3.2GHz | 16GB | GPU | 128GB SSD | Win 10 Pro,$179.99
Dell i5 Desktop Tower Computer Windows 10 PC Intel Core 8GB RAM 1TB HD Wi-Fi,$133.09
HP Desktop Computer Tiny Mini Core i3 8GB Ram 128GB SSD Windows 10 Pro PC WiFi,$168.00
HP Gaming Desktop Computer 16GB RAM 1TB HDD Nvidia GT1030 Windows 10 Core I5 PC,$350.00
Dell Core i5 Desktop Computer 16GB RAM 2TB 512GB SSD 22in LCD Windows 10 Pro PC,$109.95 to $393.69
"Dell OptiPlex Desktop Computer 4GB 500GB Core 2 Duo Windows 10 PC 17"" LCD WIFI",$149.95
"Dell Desktop Computer Core i5 8GB RAM 1TB HD Windows 10 PC 19"" LCD Monitor WIFI",$199.44
Dell 9020 i5 Gaming Computer PC 16GB 1TB 256GB M.2SSD AMD RX 550 4GB WiFi Win 10,$179.99 to $419.99
HP Desktop i7 Computer PC Intel Core 16GB RAM 500GB HDD Windows 10 Home Wi-Fi,$159.49
New ListingDell Optiplex 5050 Micro Desktop Computer i7-7700T 16gb RAM 256GB SSD Win.10 Pro,$285.00
Dell i5 Desktop Computer PC Intel Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi,$115.73
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM SSD HD,$369.99
Dell Gaming PC Xeon Computer Nvidia GT 1030 16GB 500GB 128GB SSD Windows 10 Pro,$289.74
Dell Desktop Computer Precision T3420 16GB 256GB SSD Windows 10 Pro PC WIFI HDMI,$153.07
Lenovo ThinkCentre M600 Tiny Mini PC Desktop Computer Intel Pentium Win10 Pro,$126.99 to $264.99
"HP ProBook 6450b 14"" Laptop Computer Core i3 4GB Ram 128GB SSD Windows 10 WiFi",$179.99
Dell Latitude Business Laptop Core i5 16GB Ram 256GB SSD Windows 10 Pro WiFi,$264.99
Win 10 Pro Dell Gaming PC Computer i5 3.4ghz 8GB 16GB 1000GB HDD GTX 1650 ,$119.99 to $382.99
Dell i5 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10,$99.00 to $350.00
Windows 11 Pro Dell OptiPlex Dual Core 1TB 8GB RAM WiFi BT Desktop Computer PC,$180.99
New Listingaffordable high performance desktop computer - cyberpowerpc gaming pc,$212.00
HP Desktop i7 Computer PC Intel Quad Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi,$132.27
HP Desktop Computer Windows 11 8GB 1TB Bluetooth WiFi DVD+RW HDMI (FULLY LOADED),$349.00
Shop on eBay,$20.00
Desktop Computer PC Windows 7 Full Size Tower or SFF w/ DVDRW 4GB Ram 250GB HDD,$69.99
"HP Desktop 16GB RAM Windows 10 Home PC Intel i3 Computer 256GB SSD 22"" LCD Wi-Fi",$142.74
FAST Custom Lenovo PC i7 | Windows 10 PRO | 1TB SSD 16GB RAM | Mini Desktop PC,$209.99 to $549.99
Lenovo PC up to Intel I7 16GB RAM 500GB SSD Win 10 ThinkCentre Desktop Computer,$149.99 to $369.99
New Listingaffordable high performance desktop computer - cyberpowerpc gaming pc,$212.00
"Dell Desktop Computer QUAD CORE i5 WINDOWS 11 Pro PC 16GB 2TB 480GB SSD 22""LCD",$139.72 to $399.84
New ListingDell Optiolex 9020 Mt Desktop Pc i7 ssd hdd 16gb ram Gtx 660 ti wifi Win 10,$249.00
"Alarco Gaming PC Desktop Computer Intel i5 ,8G,1Tb,Win10,WIFI,NVIDIA GTX 650 1GB",$449.00
"HP Desktop i7 Computer PC Intel Core 8GB RAM 500GB HDD 19"" LCD Windows 10 Wi-Fi",$148.81
"Lenovo Desktop Computer Core i5 16GB 2TB 512GB SSD WiFi Windows 10 PC 24"" 22""LCD",$179.99 to $399.99
"HP Slim Desktop PC S01-pF1013w Intel Celeron, 3.4GHz, 4GB, 1TB, Brand New",$199.99
Dell Desktop Computer PC | Intel i5 Quad Core | 16GB RAM | 3TB HDD | Windows 10,$229.49
HP Desktop Computer WINDOWS 11 PRO 32GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED),$549.00
FIT PC2 Micro Tiny Windows 10 Streaming Desktop PC Computer HDMI WIFI SD 32G SSD,$69.99
"HP Windows 10 Desktop Computer PC Intel Core i5 8GB RAM 256GB SSD 19"" LCD Wi-Fi",$138.88
HP Gaming Computer PC 16GB 2TB 512GB SSD Nvidia GT1030 Graphics Win 10 Desktop,$279.00 to $409.00
Dell i5 Desktop Computer PC 7040 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 11,$150.00 to $530.00
Dell Optiplex Desktop Computer up to Intel I7 16GB RAM 500GB SSD Windows 10 Pro,$170.99 to $598.49
Dell Optiplex 7010 SFF I7-3770 500GB HDD 8GB RAM WIN10 Pro ,$135.00
Dell i7 Desktop Computer PC 7010 WiFi/HDMI/up to 32GB RAM 3TB HDD SSD/Windows 10,$170.00 to $670.00
HP Prodesk Computer Desktop up to Intel i7 16GB RAM 500GB SSD Windows 10 Pro PC,$149.99 to $579.99
"Desktop Computer PC Windows XP PRO SP3 32bit,Serial 9PIN & Parallel Port 2GB RAM",$89.99
HP Computer Core I5 8Gb RAM 512Gb SSD Windows 10 Desktop Computer PC DVD WiFi,$185.00
HP Desktop Computer PC | i7-6700 | 32GB RAM | 1TB SSD + 3TB HDD | Windows 11 Pro,$569.49
Windows XP Desktop computer CPU Dell Optiplex 4GB ram 250GB Fast Duo Core 32 bit,$118.89
Fast Dell TOWER Desktop Computer Core 2 Duo 4GB 250GB HDD Windows 7 pro 32bit,$95.00
Gaming PC Desktop Computer RGB i7 Intel 2TB HDD 16GB RAM GTX 1060 Nvidia,$799.99
Dell OptiPlex 9020 SFF PC Intel Core i5 4590 8GB 500GB HDD Win 10 Pro- Good,$149.99
CHUWI LarkBox Smallest 4K Mini PC Windows 10 Desktop Intel J4115 Computer 6+128G,$163.29
Desktop Computer PC Windows XP PRO SP3 32bit RS232 Serial Parallel DVDROM 9PIN,$49.99 to $89.99
Windows PC Dell Pro Tower Desktop Computer Core 2 Duo Up to 8GB 1TB HD 22in LCD,$99.95 to $239.95
Dell Desktop Computer Bundle | WiFi | Dual Core CPU | 8GB | 500GB | Windows 10,$149.00
New ListingDell Inspiron 660 Desktop Computer,$250.00
HP J5N50UT Chromebox 4GB RAM 16GB Intel Celeron 2955U Mini PC Desktop Computer,$69.99
